date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:15:17	528/528	---M-Z	200	added ('OK')	image/svg+xml	etag:%22210-62383440-aa2aae03475aa0d8;gz%22	https://www.bakeryswapes.org/images/icon_busd.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/icon_busd.svg	(from https://www.bakeryswapes.org/earning.html)
18:15:18	1387/1387	---M-Z	200	added ('OK')	image/svg+xml	etag:%2256b-62383440-ce00366d25d79295;gz%22	https://www.bakeryswapes.org/images/icon_usdt_light.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/icon_usdt_light.svg	(from https://www.bakeryswapes.org/earning.html)
18:15:18	1355/1355	---M-Z	200	added ('OK')	image/svg+xml	etag:%2254b-62383440-b09b7acd23d074bb;gz%22	https://www.bakeryswapes.org/images/icon_usdt.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/icon_usdt.svg	(from https://www.bakeryswapes.org/earning.html)
18:15:21	8042/8042	---M-Z	200	added ('OK')	image/svg+xml	etag:%221f6a-62383440-8c5a16e1f4857f56;gz%22	https://www.bakeryswapes.org/images/icon_doggy_light.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/icon_doggy_light.svg	(from https://www.bakeryswapes.org/earning.html)
18:15:23	8011/8011	---M-Z	200	added ('OK')	image/svg+xml	etag:%221f4b-62383440-47c033bc06c8feb0;gz%22	https://www.bakeryswapes.org/images/icon_doggy.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/icon_doggy.svg	(from https://www.bakeryswapes.org/earning.html)
18:15:40	330564/330564	---M-Z	200	added ('OK')	image/svg+xml	etag:%2250b44-62383440-6539ef7488dd2730;gz%22	https://www.bakeryswapes.org/images/icon_car.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/icon_car.svg	(from https://www.bakeryswapes.org/earning.html)
18:15:47	102074/102074	---M-Z	200	added ('OK')	image/svg+xml	etag:%2218eba-62383440-924ce395215b1a23;gz%22	https://www.bakeryswapes.org/images/icon_poker_light.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/icon_poker_light.svg	(from https://www.bakeryswapes.org/earning.html)
18:15:50	330615/330615	---M-Z	200	added ('OK')	image/svg+xml	etag:%2250b77-62383440-75d4c863e4cee42b;gz%22	https://www.bakeryswapes.org/images/icon_car_light.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/icon_car_light.svg	(from https://www.bakeryswapes.org/earning.html)
18:15:57	102031/102031	---M-Z	200	added ('OK')	image/svg+xml	etag:%2218e8f-62383440-bb1f5a4003955dd1;gz%22	https://www.bakeryswapes.org/images/icon_poker.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/icon_poker.svg	(from https://www.bakeryswapes.org/earning.html)
18:16:02	250287/250287	---M-Z	200	added ('OK')	image/svg+xml	etag:%223d1af-62383440-913d10ec5f1b28ae;gz%22	https://www.bakeryswapes.org/images/icon_tokau.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/icon_tokau.svg	(from https://www.bakeryswapes.org/earning.html)
